RegionId,Volume,Surface Area,Aspect Ratio,Min Point,Max Point
116,5.770524594821945,16.698756657633965,1.2662809153369852,"[20.500200271606445, 2.296180009841919, 44.169498443603516]","[22.896699905395508, 4.188729763031006, 46.40340042114258]"
117,0.5933703741922247,15.577530276747925,0.527066275386327,"[6.300270080566406, 29.245399475097656, 26.14259910583496]","[7.697259902954102, 31.89590072631836, 28.670900344848633]"
118,4.684843434104831,15.422229303035573,2.4731383017413187,"[28.612600326538086, 10.6358003616333, 55.58319854736328]","[32.34159851074219, 12.143600463867188, 57.25979995727539]"
119,4.680491600388789,14.972679671994563,2.1436981959260435,"[31.50659942626953, 7.0453901290893555, 34.577999114990234]","[34.78950119018555, 8.576809883117676, 36.40169906616211]"
120,4.970694497311889,15.456222428919544,1.0242363129075713,"[51.300201416015625, 15.637800216674805, 47.81060028076172]","[53.561100006103516, 17.845199584960938, 50.0463981628418]"
121,5.421045482461965,15.98175218828574,1.1030558165974136,"[13.401300430297852, 14.299400329589844, 46.89099884033203]","[15.599800109863281, 16.292499542236328, 49.037601470947266]"
122,4.577845481278772,14.71683767511365,2.168229156103596,"[24.73110008239746, 5.321499824523926, 40.29399871826172]","[27.99370002746582, 6.826230049133301, 42.18090057373047]"
123,32.53469726226085,17.488005352011037,0.7132145912986858,"[57.40019989013672, 19.152999877929688, 49.57889938354492]","[59.063201904296875, 21.484699249267578, 52.03269958496094]"
124,4.9170783923879675,15.40260780874803,1.1485523960659125,"[54.225399017333984, 19.296100616455078, 49.596500396728516]","[56.59980010986328, 21.363399505615234, 51.66659927368164]"
125,4.5764891704357336,14.730388702888819,0.6890118904373913,"[10.000200271606445, 11.335399627685547, 59.537899017333984]","[11.692000389099121, 13.790800094604492, 61.82210159301758]"
126,4.389817758426895,14.281856501147251,1.0070615816280784,"[40.300201416015625, 12.339099884033203, 55.95009994506836]","[42.49599838256836, 14.519499778747559, 58.062801361083984]"
127,4.106826262141874,13.870706497705692,2.1284561337182293,"[4.830880165100098, 13.282500267028809, 51.05690002441406]","[7.998660087585449, 14.77079963684082, 52.7130012512207]"
128,3.8774151063945146,14.561858289477025,0.39755662948374215,"[48.50019836425781, 25.6737003326416, 27.54520034790039]","[49.59980010986328, 28.439599990844727, 30.39550018310547]"
129,4.7092141456951815,14.591953148626647,1.689328624514749,"[42.20199966430664, 14.747200012207031, 21.011699676513672]","[44.997501373291016, 16.402000427246094, 22.68320083618164]"
130,4.134473805994714,13.739702303274491,2.06649858208666,"[4.002490043640137, 3.007390022277832, 34.02349853515625]","[7.078700065612793, 4.495999813079834, 35.798500061035156]"
131,4.388441526138857,14.08115609416736,1.2688853915471507,"[15.416199684143066, 11.7298002243042, 37.75680160522461]","[17.799800872802734, 13.60830020904541, 39.7223014831543]"
132,5.3293339284841075,15.61312039224959,0.9493855990670091,"[4.900209903717041, 6.001369953155518, 55.5619010925293]","[6.699779987335205, 7.896880149841309, 57.74399948120117]"
133,4.351807210660248,14.053576259584656,1.1972246968274223,"[28.623600006103516, 5.9835100173950195, 48.55929946899414]","[30.899799346923828, 7.884739875793457, 50.58150100708008]"
134,4.111032182686059,13.822267450793317,2.1676698775857237,"[44.61800003051758, 22.212200164794922, 58.21670150756836]","[48.04140090942383, 23.791500091552734, 59.88090133666992]"
